,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,exists
19,PG408,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)",1868.0,1963.0,['en'],14667,{'African Americans'},,False
20,PG28054,The Brothers Karamazov,"Dostoyevsky, Fyodor",1821.0,1881.0,['en'],13433,"{'Fathers and sons -- Fiction', 'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Brothers -- Fiction', 'Didactic fiction'}",,False
21,PG2554,Crime and Punishment,"Dostoyevsky, Fyodor",1821.0,1881.0,['en'],13140,"{'Psychological fiction', 'Crime -- Psychological aspects -- Fiction', 'Detective and mystery stories', 'Murder -- Fiction', 'Saint Petersburg (Russia) -- Fiction'}",,False
22,PG1399,Anna Karenina,"Tolstoy, Leo, graf",1828.0,1910.0,['en'],13109,"{'Love stories', 'Adultery -- Fiction', 'Russia -- Fiction', 'Didactic fiction', 'Married women -- Fiction'}",,False
23,PG3207,Leviathan,"Hobbes, Thomas",1588.0,1679.0,['en'],12146,"{'State, The -- Early works to 1800', 'Political science -- Early works to 1800'}",,False
24,PG219,Heart of Darkness,"Conrad, Joseph",1857.0,1924.0,['en'],12128,"{'Psychological fiction', 'Africa -- Fiction', 'Europeans -- Africa -- Fiction', 'Trading posts -- Fiction', 'Imperialism -- Fiction', 'Degeneration -- Fiction'}",,False
25,PG27827,"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",Vatsyayana,,,['en'],11964,"{'Love', 'Sex'}",,False
26,PG205,"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David",1817.0,1862.0,['en'],11395,"{'Walden Woods (Mass.) -- Social life and customs', 'Civil disobedience', 'Natural history -- Massachusetts -- Walden Woods', 'Wilderness areas -- Massachusetts -- Walden Woods', 'Solitude', 'Government, Resistance to', 'Authors, American -- 19th century -- Biography', 'Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods'}",,False
27,PG4300,Ulysses,"Joyce, James",1882.0,1941.0,['en'],11249,"{'Psychological fiction', 'Artists -- Fiction', 'City and town life -- Fiction', 'Jewish men -- Fiction', 'Married people -- Fiction', 'Male friendship -- Fiction', 'Domestic fiction', 'Dublin (Ireland) -- Fiction', 'Alienation (Social psychology) -- Fiction', 'Epic literature'}",,False
28,PG2814,Dubliners,"Joyce, James",1882.0,1941.0,['en'],11159,"{'Dublin (Ireland) -- Fiction', 'Short stories'}",,False
29,PG16328,Beowulf: An Anglo-Saxon Epic Poem,,,,['en'],10862,"{'Monsters -- Poetry', 'Epic poetry, English (Old)', 'Dragons -- Poetry'}",,False
30,PG1184,The Count of Monte Cristo,"Dumas, Alexandre",1802.0,1870.0,['en'],10792,"{'Dantès, Edmond (Fictitious character) -- Fiction', 'France -- History -- 19th century -- Fiction', 'Revenge -- Fiction', 'Historical fiction', 'Pirates -- Fiction', 'Adventure stories', 'Prisoners -- Fiction'}",,False
31,PG2600,War and Peace,"Tolstoy, Leo, graf",1828.0,1910.0,['en'],10423,"{'Russia -- History -- Alexander I, 1801-1825 -- Fiction', 'Aristocracy (Social class) -- Russia -- Fiction', 'Historical fiction', 'War stories', 'Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction'}",,False
32,PG1727,The Odyssey: Rendered into English prose for the use of those who cannot read the original,Homer,-750.0,-650.0,['en'],10383,"{'Epic poetry, Greek -- Translations into English', 'Homer -- Translations into English', 'Odysseus, King of Ithaca (Mythological character)'}",,False
33,PG41445,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",1797.0,1851.0,['en'],10311,"{'Horror tales', 'Monsters -- Fiction', 'Scientists -- Fiction', 'Gothic fiction', 'Science fiction', ""Frankenstein's monster (Fictitious character) -- Fiction"", 'Frankenstein, Victor (Fictitious character) -- Fiction'}",,False
34,PG768,Wuthering Heights,"Brontë, Emily",1818.0,1848.0,['en'],10108,"{'Psychological fiction', 'Rural families -- Fiction', 'Love stories', 'Foundlings -- Fiction', 'Revenge -- Fiction', 'Domestic fiction', 'Yorkshire (England) -- Fiction', 'Heathcliff (Fictitious character : Brontë) -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Rejection (Psychology) -- Fiction'}",,False
35,PG7370,Second Treatise of Government,"Locke, John",1632.0,1704.0,['en'],9986,"{'Political science -- Early works to 1800', 'Liberty -- Early works to 1800', 'Toleration -- Early works to 1800'}",,False
36,PG10007,Carmilla,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],9985,"{'Young women -- Fiction', 'Vampires -- Fiction'}",,False
37,PG15399,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself","Equiano, Olaudah",1745.0,1797.0,['en'],9931,"{'Enslaved persons -- United States -- Biography', 'Enslaved persons -- Great Britain -- Biography', 'Equiano, Olaudah, 1745-1797'}",,False
38,PG1497,The Republic,Plato,-428.0,-348.0,['en'],9787,"{'Utopias -- Early works to 1800', 'Classical literature', 'Justice -- Early works to 1800', 'Political science -- Early works to 1800'}",,False
39,PG58585,The Prophet,"Gibran, Kahlil",1883.0,1931.0,['en'],9598,"{'Mysticism -- Poetry', 'Prose poems, American'}",,False
40,PG2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan",1809.0,1849.0,['en'],9535,"{'American fiction -- 19th century', 'Horror tales, American', 'Short stories', 'Fantasy fiction'}",,False
41,PG996,Don Quixote,"Cervantes Saavedra, Miguel de",1547.0,1616.0,['en'],9431,"{'Romances', 'Knights and knighthood -- Spain -- Fiction', 'Picaresque literature', 'Spain -- Social life and customs -- 16th century -- Fiction'}",,False
42,PG6133,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar","Leblanc, Maurice",1864.0,1941.0,['en'],9220,"{'Mystery and detective stories', 'Lupin, Arsène (Fictitious character) -- Fiction', 'Burglars -- Fiction', 'Adventure stories, French -- Translations into English', 'Short stories'}",,False
43,PG244,A Study in Scarlet,"Doyle, Arthur Conan",1859.0,1930.0,['en'],9035,"{'Detective and mystery stories', 'Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'England -- Fiction'}",,False
44,PG1998,Thus Spake Zarathustra: A Book for All and None,"Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],8966,"{'Philosophy, German', 'Superman (Philosophical concept)'}",,False
45,PG67098,Winnie-the-Pooh,"Milne, A. A. (Alan Alexander)",1882.0,1956.0,['en'],8549,"{'Piglet (Fictitious character) -- Juvenile fiction', 'Eeyore (Fictitious character) -- Juvenile fiction', 'Teddy bears -- Juvenile fiction', 'Toys -- Juvenile fiction', 'Christopher Robin (Fictitious character) -- Juvenile fiction', 'Winnie-the-Pooh (Fictitious character) -- Juvenile fiction'}",,False
46,PG514,Little Women,"Alcott, Louisa May",1832.0,1888.0,['en'],8423,"{'Bildungsromans', 'Autobiographical fiction', 'Sisters -- Fiction', 'New England -- Fiction', 'Domestic fiction', 'Young women -- Fiction', 'Mothers and daughters -- Fiction', 'March family (Fictitious characters) -- Fiction', 'Family life -- New England -- Fiction'}",,False
47,PG2852,The Hound of the Baskervilles,"Doyle, Arthur Conan",1859.0,1930.0,['en'],8370,"{'Private investigators -- England -- Fiction', 'Detective and mystery stories', 'Blessing and cursing -- Fiction', 'Dogs -- Fiction', 'Holmes, Sherlock (Fictitious character) -- Fiction', 'Dartmoor (England) -- Fiction'}",,False
48,PG120,Treasure Island,"Stevenson, Robert Louis",1850.0,1894.0,['en'],8322,"{'Pirates -- Fiction', 'Treasure troves -- Fiction', 'Treasure Island (Imaginary place) -- Fiction', 'Sea stories'}",,False
49,PG2680,Meditations,"Marcus Aurelius, Emperor of Rome",121.0,180.0,['en'],8247,"{'Life', 'Ethics', 'Stoics'}",,False
50,PG30254,The Romance of Lust: A classic Victorian erotic novel,Anonymous,,,['en'],8229,"{'Rape -- Fiction', 'Corporal punishment -- Fiction', 'Erotic stories', 'Pornography', 'Sexual dominance and submission -- Fiction', 'Incest -- Fiction'}",,False
51,PG8800,The divine comedy,Dante Alighieri,1265.0,1321.0,['en'],8136,"{'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'}",,False
52,PG4363,Beyond Good and Evil,"Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],8065,"{'Ethics', 'Philosophy, German'}",,False
53,PG600,Notes from the Underground,"Dostoyevsky, Fyodor",1821.0,1881.0,['en'],7714,"{'Russia -- Officials and employees -- Fiction', 'Political fiction', 'Russia -- History -- 1801-1917 -- Fiction'}",,False
54,PG38065,Eight or Nine Wise Words about Letter-Writing,"Carroll, Lewis",1832.0,1898.0,['en'],7549,{'Letter writing'},,False
55,PG20203,Autobiography of Benjamin Franklin,"Franklin, Benjamin",1706.0,1790.0,['en'],7486,"{'Statesmen -- United States -- Biography', 'Franklin, Benjamin, 1706-1790'}",,False
56,PG25282,The Jewish State,"Herzl, Theodor",1860.0,1904.0,['en'],7431,"{'Zionists -- Austria -- Biography', 'Zionism', 'Herzl, Theodor, 1860-1904'}",,False
57,PG3825,Pygmalion,"Shaw, Bernard",1856.0,1950.0,['en'],7233,"{'Speech and social status -- Drama', 'Linguistics teachers -- Drama', 'Flower vending -- Drama', 'Comedies', 'London (England) -- Drama', 'Social classes -- Drama'}",,False
58,PG158,Emma,"Austen, Jane",1775.0,1817.0,['en'],7181,"{'Love stories', 'Bildungsromans', 'Humorous stories', 'Mate selection -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Female friendship -- Fiction', 'Fathers and daughters -- Fiction'}",,False
59,PG24869,"The Rámáyan of Válmíki, translated into English verse",Valmiki,,,['en'],7047,"{'Epic poetry, Sanskrit -- Translations into English', 'Rama (Hindu deity) -- Poetry', 'Folklore -- India'}",,False
60,PG161,Sense and Sensibility,"Austen, Jane",1775.0,1817.0,['en'],6923,"{'Love stories', 'Sisters -- Fiction', 'Mate selection -- Fiction', 'England -- Fiction', 'Domestic fiction', 'Young women -- Fiction', 'Regency fiction', 'Social classes -- Fiction', 'Gentry -- England -- Fiction', 'Inheritance and succession -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction'}",,False
61,PG521,The Life and Adventures of Robinson Crusoe,"Defoe, Daniel",,1731.0,['en'],6820,"{'Adventure stories', 'Castaways -- Fiction', 'Islands -- Fiction', 'Atlantic Ocean -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction', 'Shipwreck survival -- Fiction'}",,False
62,PG5827,The Problems of Philosophy,"Russell, Bertrand",1872.0,1970.0,['en'],6759,"{'Metaphysics', 'Knowledge, Theory of', 'Philosophy -- Introductions'}",,False
63,PG100,The Complete Works of William Shakespeare,"Shakespeare, William",1564.0,1616.0,['en'],6742,"{'English drama -- Early modern and Elizabethan, 1500-1600'}",,False
64,PG42324,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",1797.0,1851.0,['en'],6650,"{'Horror tales', 'Monsters -- Fiction', 'Scientists -- Fiction', 'Gothic fiction', 'Science fiction', ""Frankenstein's monster (Fictitious character) -- Fiction"", 'Frankenstein, Victor (Fictitious character) -- Fiction'}",,False
65,PG1250,Anthem,"Rand, Ayn",1905.0,1982.0,['en'],6411,"{'Psychological fiction', 'Love stories', 'Science fiction', 'Individuality -- Fiction', 'Men -- Psychology -- Fiction', 'Time travel -- Fiction'}",,False
66,PG4217,A Portrait of the Artist as a Young Man,"Joyce, James",1882.0,1941.0,['en'],6247,"{'Artists -- Fiction', 'Bildungsromans', 'Autobiographical fiction', 'Dublin (Ireland) -- Fiction', 'Young men -- Fiction'}",,False
67,PG209,The Turn of the Screw,"James, Henry",1843.0,1916.0,['en'],6245,"{'Psychological fiction', 'Ghost stories', 'Children -- Fiction', 'England -- Fiction', 'Governesses -- Fiction'}",,False
68,PG3296,The Confessions of St. Augustine,"Augustine, Saint, Bishop of Hippo",354.0,430.0,['en'],6201,"{'Christian saints -- Algeria -- Hippo (Extinct city) -- Biography', 'Augustine, Saint, Bishop of Hippo', 'Bishops -- Algeria -- Hippo (Extinct city) -- Biography', 'Catholic Church -- Bishops -- Biography'}",,False
69,PG203,Uncle Tom's Cabin,"Stowe, Harriet Beecher",1811.0,1896.0,['en'],6192,"{'African Americans -- Fiction', 'Master and servant -- Fiction', 'Southern States -- Fiction', 'Fugitive slaves -- Fiction', 'Plantation life -- Fiction', 'Didactic fiction', 'Enslaved persons -- Fiction', 'Slavery -- Fiction', 'Political fiction', 'Uncle Tom (Fictitious character) -- Fiction'}",,False
70,PG730,Oliver Twist,"Dickens, Charles",1812.0,1870.0,['en'],6139,"{'Bildungsromans', 'Boys -- Fiction', 'Kidnapping victims -- Fiction', 'London (England) -- Fiction', 'Orphans -- Fiction', 'Criminals -- Fiction'}",,False
71,PG147,Common Sense,"Paine, Thomas",1737.0,1809.0,['en'],5999,"{'United States -- Politics and government -- 1775-1783', 'Political science -- Early works to 1800', 'Monarchy -- Early works to 1800'}",,False
72,PG6753,Psmith in the City,"Wodehouse, P. G. (Pelham Grenville)",1881.0,1975.0,['en'],5942,{'Humorous stories'},,False
73,PG11030,"Incidents in the Life of a Slave Girl, Written by Herself","Jacobs, Harriet A. (Harriet Ann)",1813.0,1897.0,['en'],5940,"{'Enslaved persons -- United States -- Biography', 'Jacobs, Harriet A. (Harriet Ann), 1813-1897', 'Enslaved women -- United States -- Biography', 'Enslaved persons -- United States -- Social conditions'}",,False
74,PG236,The Jungle Book,"Kipling, Rudyard",1865.0,1936.0,['en'],5931,"{'India -- Fiction', 'Jungles -- Fiction', 'Mowgli (Fictitious character) -- Fiction', 'India -- History -- 19th century -- Fiction', 'Short stories', 'Animals -- Fiction', 'Adventure stories, English', 'Jungle animals -- Fiction', 'Feral children -- Fiction'}",,False
75,PG1251,Le Morte d'Arthur: Volume 1,"Malory, Thomas, Sir",,1471.0,['en'],5843,"{'Arthur, King -- Legends', 'Arthurian romances'}",,False
76,PG829,Gulliver's Travels into Several Remote Nations of the World,"Swift, Jonathan",1667.0,1745.0,['en'],5756,"{'Satire', 'Gulliver, Lemuel (Fictitious character) -- Fiction', 'Travelers -- Fiction', 'Fantasy fiction', 'Voyages, Imaginary -- Early works to 1800'}",,False
77,PG35899,The Philippines a Century Hence,"Rizal, José",1861.0,1896.0,['en'],5745,{'Philippines'},,False
78,PG132,The Art of War,"Sunzi, active 6th century B.C.",,,['en'],5741,"{'Military art and science -- Early works to 1800', 'War -- Early works to 1800'}",,False
79,PG145,Middlemarch,"Eliot, George",1819.0,1880.0,['en'],5579,"{'Love stories', 'City and town life -- Fiction', 'Bildungsromans', 'Married people -- Fiction', 'England -- Fiction', 'Didactic fiction', 'Young women -- Fiction', 'Domestic fiction'}",,False
80,PG215,The call of the wild,"London, Jack",1876.0,1916.0,['en'],5424,"{'Feral dogs -- Fiction', 'Nature stories', 'Dogs -- Fiction', 'Klondike River Valley (Yukon) -- Fiction', 'Animal welfare -- Fiction', 'Sled dogs -- Fiction', 'Pet theft -- Fiction', 'Adventure stories'}",,False
81,PG3600,Essays of Michel de Montaigne — Complete,"Montaigne, Michel de",1533.0,1592.0,['en'],5406,{'French essays -- Translations into English'},,False
82,PG105,Persuasion,"Austen, Jane",1775.0,1817.0,['en'],5366,"{'Psychological fiction', 'First loves -- Fiction', 'Love stories', 'Motherless families -- Fiction', 'Young women -- Fiction', 'Dysfunctional families -- Fiction', 'Regency fiction', 'Ship captains -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Rejection (Psychology) -- Fiction'}",,False
83,PG160,"The Awakening, and Selected Short Stories","Chopin, Kate",1850.0,1904.0,['en'],5302,"{'Louisiana -- Social life and customs -- Fiction', 'Adultery -- Fiction', 'Women -- Louisiana -- New Orleans -- Social conditions -- Fiction', 'New Orleans (La.) -- Fiction', 'Self-actualization (Psychology) -- Fiction'}",,False
84,PG2500,Siddhartha,"Hesse, Hermann",1877.0,1962.0,['en'],5276,"{'Buddhism -- Fiction', 'Buddhist philosophy -- Fiction', 'India -- Social life and customs -- Fiction', 'Self-realization -- Fiction', 'Spiritual life -- Fiction', 'Gautama Buddha -- Fiction', 'Brahmans -- Fiction', 'India -- Religion -- Fiction'}",,False
85,PG69087,The murder of Roger Ackroyd,"Christie, Agatha",1890.0,1976.0,['en'],5267,"{'Belgians -- England -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories', 'Murder -- Investigation -- Fiction', 'Poirot, Hercule (Fictitious character) -- Fiction'}",,False
86,PG22381,Myths and Legends of Ancient Greece and Rome,"Berens, E. M.",,,['en'],5168,"{'Mythology, Classical'}",,False
87,PG19942,Candide,Voltaire,1694.0,1778.0,['en'],5138,"{'Optimism -- Fiction', 'Satire'}",,False
88,PG37134,The Elements of Style,"Strunk, William",1869.0,1946.0,['en'],4923,"{'Report writing', 'English language -- Style', 'English language -- Rhetoric'}",,False
89,PG50742,"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",,,,['en'],4904,"{'Epic poetry, English (Old) -- Adaptations', 'Monsters -- Fiction', 'Beowulf -- Adaptations', 'Heroes -- Fiction'}",,False
90,PG512,Mosses from an old manse,"Hawthorne, Nathaniel",1804.0,1864.0,['en'],4896,"{'New England -- Social life and customs -- Fiction', 'Short stories, American'}",,False
91,PG23042,The Tempest: The Works of William Shakespeare [Cambridge Edition] [9 vols.],"Shakespeare, William",1564.0,1616.0,['en'],4820,"{'Fathers and daughters -- Drama', 'Spirits -- Drama', 'Magicians -- Drama', 'Islands -- Drama', 'Shipwreck victims -- Drama', 'Political refugees -- Drama', 'Tragicomedy'}",,False
92,PG15272,"Spenser's The Faerie Queene, Book I","Spenser, Edmund",1551.0,1599.0,['en'],4805,"{'English poetry -- Early modern, 1500-1700', 'Knights and knighthood -- Poetry', 'Virtues -- Poetry'}",,False
93,PG902,"The Happy Prince, and Other Tales","Wilde, Oscar",1854.0,1900.0,['en'],4753,"{'Short stories, English', ""Children's stories, English"", 'Fairy tales'}",,False
94,PG16643,Essays by Ralph Waldo Emerson,"Emerson, Ralph Waldo",1803.0,1882.0,['en'],4733,{'Essays'},,False
95,PG17396,The Secret Garden,"Burnett, Frances Hodgson",1849.0,1924.0,['en'],4704,"{'Yorkshire (England) -- Juvenile fiction', 'People with disabilities -- Juvenile fiction', 'Orphans -- Juvenile fiction', 'Gardens -- Juvenile fiction'}",,False
96,PG135,Les Misérables,"Hugo, Victor",1802.0,1885.0,['en'],4645,"{'Ex-convicts -- Fiction', 'Historical fiction', 'Paris (France) -- Fiction', 'Orphans -- Fiction', 'Epic literature'}",,False
97,PG140,The Jungle,"Sinclair, Upton",1878.0,1968.0,['en'],4593,"{'Lithuanian Americans -- Fiction', 'Stockyards -- Fiction', 'Chicago (Ill.) -- Fiction', 'Working class -- Fiction', 'Immigrants -- Fiction', 'Political fiction', 'Meat industry and trade -- Fiction'}",,False
98,PG34901,On Liberty,"Mill, John Stuart",1806.0,1873.0,['en'],4589,{'Liberty'},,False
99,PG37106,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",1832.0,1888.0,['en'],4521,"{'Bildungsromans', 'Autobiographical fiction', 'Sisters -- Fiction', 'New England -- Fiction', 'Domestic fiction', 'Young women -- Fiction', 'Mothers and daughters -- Fiction', 'March family (Fictitious characters) -- Fiction', 'Family life -- New England -- Fiction'}",,False
100,PG8438,The Ethics of Aristotle,Aristotle,-384.0,-322.0,['en'],4497,{'Ethics'},,False
101,PG43453,A Pickle for the Knowing Ones,"Dexter, Timothy",1747.0,1806.0,['en'],4496,"{'Dexter, Timothy, 1747-1806', 'Newburyport (Mass.) -- Biography'}",,False
102,PG1934,Songs of Innocence and of Experience,"Blake, William",1757.0,1827.0,['en'],4473,"{'Pastoral poetry', 'English poetry -- 18th century'}",,False
103,PG22120,"Chaucer's Works, Volume 4 — The Canterbury Tales","Chaucer, Geoffrey",1342.0,1400.0,['enm'],4406,{'Christian pilgrims and pilgrimages -- Poetry'},,False
104,PG2147,The Works of Edgar Allan Poe — Volume 1,"Poe, Edgar Allan",1809.0,1849.0,['en'],4302,"{'American fiction -- 19th century', 'Poe, Edgar Allan, 1809-1849', 'Horror tales, American', 'Fantasy fiction'}",,False
105,PG121,Northanger Abbey,"Austen, Jane",1775.0,1817.0,['en'],4297,"{'Horror tales -- Appreciation -- Fiction', 'Love stories', 'Satire', 'England -- Fiction', 'Gothic fiction', 'Young women -- Fiction', 'Marriage -- Economic aspects -- Fiction', 'Books and reading -- Fiction', 'Gentry -- England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction'}",,False
106,PG2848,Antiquities of the Jews,"Josephus, Flavius",37.0,,['en'],4290,{'Jews -- Antiquities'},,False
107,PG10623,Plays,"Glaspell, Susan",1876.0,1948.0,['en'],4218,{'American drama'},,False
108,PG1524,"Hamlet, Prince of Denmark","Shakespeare, William",1564.0,1616.0,['en'],4182,"{'Fathers -- Death -- Drama', 'Revenge -- Drama', 'Denmark -- Drama', 'Hamlet (Legendary character) -- Drama', 'Princes -- Drama', 'Tragedies', ""Murder victims' families -- Drama"", 'Kings and rulers -- Succession -- Drama'}",,False
109,PG10615,"An Essay Concerning Humane Understanding, Volume 1: MDCXC, Based on the 2nd Edition, Books 1 and 2","Locke, John",1632.0,1704.0,['en'],4101,"{'Knowledge, Theory of -- Early works to 1800'}",,False
110,PG28890,Helps to Latin Translation at Sight,"Luce, Edmund",,,['en'],4096,{'Latin language -- Readers'},,False
111,PG10676,The Reign of Greed,"Rizal, José",1861.0,1896.0,['en'],4081,"{'Philippines -- History -- Fiction', 'Philippine fiction (Spanish) -- Translations into English', 'Nationalists -- Philippines -- Fiction'}",,False
112,PG1228,"On the Origin of Species By Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life","Darwin, Charles",1809.0,1882.0,['en'],4076,"{'Evolution (Biology)', 'Natural selection'}",,False
113,PG766,David Copperfield,"Dickens, Charles",1812.0,1870.0,['en'],4064,"{'Child labor -- Fiction', 'Bildungsromans', 'Autobiographical fiction', 'Boys -- Fiction', 'Stepfathers -- Fiction', 'England -- Fiction', 'Young men -- Fiction', 'Orphans -- Fiction'}",,False
114,PG786,Hard Times,"Dickens, Charles",1812.0,1870.0,['en'],3996,"{'Education -- Fiction', 'England -- Fiction', 'Domestic fiction', 'Political fiction', 'Social problems -- Fiction', 'Utilitarianism -- Fiction'}",,False
115,PG375,An Occurrence at Owl Creek Bridge,"Bierce, Ambrose",1842.0,1913.0,['en'],3981,"{'United States -- History -- Civil War, 1861-1865 -- Fiction', 'Prisoners -- Fiction', 'Short stories'}",,False
